Min frequency : 0.05
Max frequency : 0.4
Nb of frequencies : 500

S0 ; A0 ; SH0
5.6202E0 ; 2.1404E0 ; 3.2557E0
5.6201E0 ; 2.1514E0 ; 3.2557E0
5.62E0 ; 2.1622E0 ; 3.2557E0
5.6198E0 ; 2.1729E0 ; 3.2557E0
5.6197E0 ; 2.1834E0 ; 3.2557E0
5.6195E0 ; 2.1939E0 ; 3.2557E0
5.6194E0 ; 2.2041E0 ; 3.2557E0
5.6192E0 ; 2.2143E0 ; 3.2557E0
5.6191E0 ; 2.2243E0 ; 3.2557E0
5.6189E0 ; 2.2342E0 ; 3.2557E0
5.6188E0 ; 2.244E0 ; 3.2557E0
5.6186E0 ; 2.2537E0 ; 3.2557E0
5.6185E0 ; 2.2633E0 ; 3.2557E0
5.6183E0 ; 2.2727E0 ; 3.2557E0
5.6182E0 ; 2.282E0 ; 3.2557E0
5.618E0 ; 2.2913E0 ; 3.2557E0
5.6178E0 ; 2.3004E0 ; 3.2557E0
5.6177E0 ; 2.3094E0 ; 3.2557E0
5.6175E0 ; 2.3183E0 ; 3.2557E0
5.6173E0 ; 2.3271E0 ; 3.2557E0
5.6171E0 ; 2.3358E0 ; 3.2557E0
5.617E0 ; 2.3444E0 ; 3.2557E0
5.6168E0 ; 2.3529E0 ; 3.2557E0
5.6166E0 ; 2.3613E0 ; 3.2557E0
5.6164E0 ; 2.3696E0 ; 3.2557E0
5.6162E0 ; 2.3778E0 ; 3.2557E0
5.6161E0 ; 2.386E0 ; 3.2557E0
5.6159E0 ; 2.394E0 ; 3.2557E0
5.6157E0 ; 2.402E0 ; 3.2557E0
5.6155E0 ; 2.4098E0 ; 3.2557E0
5.6153E0 ; 2.4176E0 ; 3.2557E0
5.6151E0 ; 2.4253E0 ; 3.2557E0
5.6149E0 ; 2.4329E0 ; 3.2557E0
5.6147E0 ; 2.4405E0 ; 3.2557E0
5.6145E0 ; 2.4479E0 ; 3.2557E0
5.6143E0 ; 2.4553E0 ; 3.2557E0
5.6141E0 ; 2.4626E0 ; 3.2557E0
5.6139E0 ; 2.4698E0 ; 3.2557E0
5.6137E0 ; 2.4769E0 ; 3.2557E0
5.6135E0 ; 2.484E0 ; 3.2557E0
5.6133E0 ; 2.491E0 ; 3.2557E0
5.613E0 ; 2.4979E0 ; 3.2557E0
5.6128E0 ; 2.5048E0 ; 3.2557E0
5.6126E0 ; 2.5116E0 ; 3.2557E0
5.6124E0 ; 2.5183E0 ; 3.2557E0
5.6122E0 ; 2.525E0 ; 3.2557E0
5.6119E0 ; 2.5315E0 ; 3.2557E0
5.6117E0 ; 2.5381E0 ; 3.2557E0
5.6115E0 ; 2.5445E0 ; 3.2557E0
5.6112E0 ; 2.5509E0 ; 3.2557E0
5.611E0 ; 2.5572E0 ; 3.2557E0
5.6108E0 ; 2.5635E0 ; 3.2557E0
5.6105E0 ; 2.5697E0 ; 3.2557E0
5.6103E0 ; 2.5758E0 ; 3.2557E0
5.6101E0 ; 2.5819E0 ; 3.2557E0
5.6098E0 ; 2.5879E0 ; 3.2557E0
5.6096E0 ; 2.5939E0 ; 3.2557E0
5.6093E0 ; 2.5998E0 ; 3.2557E0
5.6091E0 ; 2.6056E0 ; 3.2557E0
5.6088E0 ; 2.6114E0 ; 3.2557E0
5.6086E0 ; 2.6172E0 ; 3.2557E0
5.6083E0 ; 2.6228E0 ; 3.2557E0
5.6081E0 ; 2.6285E0 ; 3.2557E0
5.6078E0 ; 2.634E0 ; 3.2557E0
5.6075E0 ; 2.6396E0 ; 3.2557E0
5.6073E0 ; 2.645E0 ; 3.2557E0
5.607E0 ; 2.6504E0 ; 3.2557E0
5.6067E0 ; 2.6558E0 ; 3.2557E0
5.6065E0 ; 2.6611E0 ; 3.2557E0
5.6062E0 ; 2.6664E0 ; 3.2557E0
5.6059E0 ; 2.6716E0 ; 3.2557E0
5.6056E0 ; 2.6768E0 ; 3.2557E0
5.6054E0 ; 2.6819E0 ; 3.2557E0
5.6051E0 ; 2.687E0 ; 3.2557E0
5.6048E0 ; 2.692E0 ; 3.2557E0
5.6045E0 ; 2.697E0 ; 3.2557E0
5.6042E0 ; 2.7019E0 ; 3.2557E0
5.6039E0 ; 2.7068E0 ; 3.2557E0
5.6037E0 ; 2.7117E0 ; 3.2557E0
5.6034E0 ; 2.7165E0 ; 3.2557E0
5.6031E0 ; 2.7212E0 ; 3.2557E0
5.6028E0 ; 2.726E0 ; 3.2557E0
5.6025E0 ; 2.7306E0 ; 3.2557E0
5.6022E0 ; 2.7353E0 ; 3.2557E0
5.6019E0 ; 2.7399E0 ; 3.2557E0
5.6016E0 ; 2.7444E0 ; 3.2557E0
5.6013E0 ; 2.7489E0 ; 3.2557E0
5.6009E0 ; 2.7534E0 ; 3.2557E0
5.6006E0 ; 2.7578E0 ; 3.2557E0
5.6003E0 ; 2.7622E0 ; 3.2557E0
5.6E0 ; 2.7666E0 ; 3.2557E0
5.5997E0 ; 2.7709E0 ; 3.2557E0
5.5994E0 ; 2.7752E0 ; 3.2557E0
5.599E0 ; 2.7794E0 ; 3.2557E0
5.5987E0 ; 2.7836E0 ; 3.2557E0
5.5984E0 ; 2.7878E0 ; 3.2557E0
5.5981E0 ; 2.7919E0 ; 3.2557E0
5.5977E0 ; 2.796E0 ; 3.2557E0
5.5974E0 ; 2.8001E0 ; 3.2557E0
5.5971E0 ; 2.8041E0 ; 3.2557E0
5.5967E0 ; 2.8081E0 ; 3.2557E0
5.5964E0 ; 2.8121E0 ; 3.2557E0
5.596E0 ; 2.816E0 ; 3.2557E0
5.5957E0 ; 2.8199E0 ; 3.2557E0
5.5953E0 ; 2.8237E0 ; 3.2557E0
5.595E0 ; 2.8276E0 ; 3.2557E0
5.5946E0 ; 2.8314E0 ; 3.2557E0
5.5943E0 ; 2.8351E0 ; 3.2557E0
5.5939E0 ; 2.8388E0 ; 3.2557E0
5.5936E0 ; 2.8425E0 ; 3.2557E0
5.5932E0 ; 2.8462E0 ; 3.2557E0
5.5929E0 ; 2.8498E0 ; 3.2557E0
5.5925E0 ; 2.8535E0 ; 3.2557E0
5.5921E0 ; 2.857E0 ; 3.2557E0
5.5918E0 ; 2.8606E0 ; 3.2557E0
5.5914E0 ; 2.8641E0 ; 3.2557E0
5.591E0 ; 2.8676E0 ; 3.2557E0
5.5906E0 ; 2.871E0 ; 3.2557E0
5.5903E0 ; 2.8745E0 ; 3.2557E0
5.5899E0 ; 2.8779E0 ; 3.2557E0
5.5895E0 ; 2.8812E0 ; 3.2557E0
5.5891E0 ; 2.8846E0 ; 3.2557E0
5.5887E0 ; 2.8879E0 ; 3.2557E0
5.5883E0 ; 2.8912E0 ; 3.2557E0
5.588E0 ; 2.8945E0 ; 3.2557E0
5.5876E0 ; 2.8977E0 ; 3.2557E0
5.5872E0 ; 2.9009E0 ; 3.2557E0
5.5868E0 ; 2.9041E0 ; 3.2557E0
5.5864E0 ; 2.9072E0 ; 3.2557E0
5.586E0 ; 2.9104E0 ; 3.2557E0
5.5856E0 ; 2.9135E0 ; 3.2557E0
5.5852E0 ; 2.9166E0 ; 3.2557E0
5.5847E0 ; 2.9196E0 ; 3.2557E0
5.5843E0 ; 2.9227E0 ; 3.2557E0
5.5839E0 ; 2.9257E0 ; 3.2557E0
5.5835E0 ; 2.9287E0 ; 3.2557E0
5.5831E0 ; 2.9316E0 ; 3.2557E0
5.5827E0 ; 2.9346E0 ; 3.2557E0
5.5822E0 ; 2.9375E0 ; 3.2557E0
5.5818E0 ; 2.9404E0 ; 3.2557E0
5.5814E0 ; 2.9432E0 ; 3.2557E0
5.581E0 ; 2.9461E0 ; 3.2557E0
5.5805E0 ; 2.9489E0 ; 3.2557E0
5.5801E0 ; 2.9517E0 ; 3.2557E0
5.5797E0 ; 2.9545E0 ; 3.2557E0
5.5792E0 ; 2.9572E0 ; 3.2557E0
5.5788E0 ; 2.9599E0 ; 3.2557E0
5.5783E0 ; 2.9627E0 ; 3.2557E0
5.5779E0 ; 2.9653E0 ; 3.2557E0
5.5774E0 ; 2.968E0 ; 3.2557E0
5.577E0 ; 2.9707E0 ; 3.2557E0
